"series","timestamp","value","label"
"pressure","2021-07-01T02:30:10Z",954.22681,""
"pressure","2021-07-01T03:00:10Z",954.08888,""
"pressure","2021-07-01T03:30:10Z",953.89783,""
"pressure","2021-07-01T04:00:10Z",953.68624,""
"pressure","2021-07-01T04:30:10Z",953.48869,""
"pressure","2021-07-01T05:00:10Z",953.01788,""
"pressure","2021-07-01T05:30:10Z",952.83475,""
"pressure","2021-07-01T06:00:10Z",952.69422,""
"pressure","2021-07-01T06:30:10Z",952.63995,""
"pressure","2021-07-01T07:00:10Z",952.39238,""
"pressure","2021-07-01T07:30:10Z",952.17917,""
"pressure","2021-07-01T08:00:10Z",951.91169,""
"pressure","2021-07-01T08:30:10Z",951.46663,""
"pressure","2021-07-01T09:00:10Z",951.5791,""
"pressure","2021-07-01T09:30:10Z",951.6522,""
"pressure","2021-07-01T10:00:10Z",952.60039,""
"pressure","2021-07-01T10:30:10Z",952.52551,""
"pressure","2021-07-01T11:00:10Z",952.93652,""
"pressure","2021-07-01T11:30:10Z",951.95549,""
"pressure","2021-07-01T12:00:10Z",951.76071,""
"pressure","2021-07-01T12:30:10Z",951.9649,""
"pressure","2021-07-01T13:00:10Z",950.75058,""
"pressure","2021-07-01T13:30:10Z",951.75222,""
"pressure","2021-07-01T14:00:10Z",953.17273,""
"pressure","2021-07-01T14:30:10Z",952.45674,""
"pressure","2021-07-01T15:00:10Z",953.1213,""
"pressure","2021-07-01T15:30:10Z",950.49054,""
"pressure","2021-07-01T16:00:10Z",953.19842,""
"pressure","2021-07-01T16:30:10Z",951.47939,""
"pressure","2021-07-01T17:00:10Z",952.18103,""
"pressure","2021-07-01T17:30:10Z",951.61631,""
"pressure","2021-07-01T18:00:10Z",951.79464,""
"pressure","2021-07-01T18:30:10Z",951.16752,""
"pressure","2021-07-01T19:00:10Z",950.57823,""
"pressure","2021-07-01T19:30:10Z",949.42804,""
"pressure","2021-07-01T20:00:10Z",948.97601,""
"pressure","2021-07-01T20:30:10Z",949.36209,""
"pressure","2021-07-01T21:00:10Z",949.25384,""
"pressure","2021-07-01T21:30:10Z",952.7235,""
"pressure","2021-07-01T22:00:10Z",948.62873,""
"pressure","2021-07-01T22:30:10Z",950.48131,""
"pressure","2021-07-01T23:00:10Z",948.22444,""
"pressure","2021-07-01T23:30:10Z",949.50606,""
"pressure","2021-07-02T00:00:10Z",950.42223,""
"pressure","2021-07-02T00:30:10Z",948.673,""
"pressure","2021-07-02T01:00:10Z",948.46922,""
"pressure","2021-07-02T01:30:10Z",948.03036,""
"pressure","2021-07-02T02:00:10Z",948.37787,""
"pressure","2021-07-02T02:30:10Z",948.36796,""
"pressure","2021-07-02T03:00:10Z",948.49756,""
"pressure","2021-07-02T03:30:10Z",948.64196,""
"pressure","2021-07-02T04:00:10Z",948.34481,""
"pressure","2021-07-02T04:30:10Z",948.07485,""
"pressure","2021-07-02T05:00:10Z",948.07203,""
"pressure","2021-07-02T05:30:10Z",948.01434,""
"pressure","2021-07-02T06:00:10Z",947.62399,""
"pressure","2021-07-02T06:30:10Z",947.15429,""
"pressure","2021-07-02T07:00:10Z",946.91031,""
"pressure","2021-07-02T07:30:10Z",947.09202,""
"pressure","2021-07-02T08:00:10Z",947.27467,""
"pressure","2021-07-02T08:30:10Z",947.17474,""
"pressure","2021-07-02T09:00:10Z",947.14482,""
"pressure","2021-07-02T09:30:10Z",947.13865,""
"pressure","2021-07-02T10:00:10Z",948.16698,""
"pressure","2021-07-02T10:30:10Z",948.17818,""
"pressure","2021-07-02T11:00:10Z",949.3875,""
"pressure","2021-07-02T11:30:10Z",949.3079,""
"pressure","2021-07-02T12:00:10Z",948.69509,""
"pressure","2021-07-02T12:30:10Z",948.68788,""
"pressure","2021-07-02T13:00:10Z",948.44166,""
"pressure","2021-07-02T13:30:10Z",950.39033,""
"pressure","2021-07-02T14:00:10Z",947.93153,""
"pressure","2021-07-02T14:30:10Z",948.27244,""
"pressure","2021-07-02T15:00:10Z",946.44675,""
"pressure","2021-07-02T15:30:10Z",948.02966,""
"pressure","2021-07-02T16:00:10Z",948.43809,""
"pressure","2021-07-02T16:30:10Z",950.5856,""
"pressure","2021-07-02T17:00:10Z",949.5133,""
"pressure","2021-07-02T17:30:10Z",948.2912,""
"pressure","2021-07-02T18:00:10Z",949.3814,""
"pressure","2021-07-02T18:30:10Z",948.00498,""
"pressure","2021-07-02T19:00:10Z",948.25861,""
"pressure","2021-07-02T19:30:10Z",950.93626,""
"pressure","2021-07-02T20:00:10Z",948.11651,""
"pressure","2021-07-02T20:30:10Z",949.7891,""
"pressure","2021-07-02T21:00:10Z",948.83448,""
"pressure","2021-07-02T21:30:10Z",948.53681,""
"pressure","2021-07-02T22:00:10Z",947.10986,""
"pressure","2021-07-02T22:30:10Z",947.53484,""
"pressure","2021-07-02T23:00:10Z",947.30082,""
"pressure","2021-07-02T23:30:10Z",948.1423,""
"pressure","2021-07-03T00:00:10Z",948.38091,""
"pressure","2021-07-03T00:30:10Z",948.76915,""
"pressure","2021-07-03T01:00:10Z",949.63478,""
"pressure","2021-07-03T01:30:10Z",949.66601,""
"pressure","2021-07-03T02:00:10Z",949.87265,""
"pressure","2021-07-03T02:30:10Z",950.17417,""
"pressure","2021-07-03T03:00:10Z",950.28209,""
"pressure","2021-07-03T03:30:10Z",950.38122,""
"pressure","2021-07-03T04:00:10Z",950.40295,""
"pressure","2021-07-03T04:30:10Z",950.35811,""
"pressure","2021-07-03T05:00:10Z",950.40511,""
"pressure","2021-07-03T05:30:10Z",950.27639,""
"pressure","2021-07-03T06:00:10Z",950.0834,""
"pressure","2021-07-03T06:30:10Z",950.09239,""
"pressure","2021-07-03T07:00:10Z",950.06395,""
"pressure","2021-07-03T07:30:10Z",950.13302,""
"pressure","2021-07-03T08:00:10Z",950.17766,""
"pressure","2021-07-03T08:30:10Z",950.29978,""
"pressure","2021-07-03T09:00:10Z",950.36151,""
"pressure","2021-07-03T09:30:10Z",950.58487,""
"pressure","2021-07-03T10:00:10Z",951.28035,""
"pressure","2021-07-03T10:30:10Z",949.94353,""
"pressure","2021-07-03T11:00:10Z",950.10633,""
"pressure","2021-07-03T11:30:10Z",950.93237,""
"pressure","2021-07-03T12:00:10Z",949.99263,""
"pressure","2021-07-03T12:30:10Z",950.37195,""
"pressure","2021-07-03T13:00:10Z",950.91788,""
"pressure","2021-07-03T13:30:10Z",952.53942,""
"pressure","2021-07-03T14:00:10Z",953.32522,""
"pressure","2021-07-03T14:30:10Z",952.07481,""
"pressure","2021-07-03T15:00:10Z",951.46075,""
"pressure","2021-07-03T15:30:10Z",950.74697,""
"pressure","2021-07-03T16:00:10Z",952.93404,""
"pressure","2021-07-03T16:30:10Z",951.84038,""
"pressure","2021-07-03T17:00:10Z",952.64601,""
"pressure","2021-07-03T17:30:10Z",949.74579,""
"pressure","2021-07-03T18:00:10Z",952.55341,""
"pressure","2021-07-03T18:30:10Z",951.55115,""
"pressure","2021-07-03T19:00:10Z",950.56351,""
"pressure","2021-07-03T19:30:10Z",951.07049,""
"pressure","2021-07-03T20:00:10Z",951.60737,""
"pressure","2021-07-03T20:30:10Z",950.87632,""
"pressure","2021-07-03T21:00:10Z",950.868,""
"pressure","2021-07-03T21:30:10Z",947.72052,""
"pressure","2021-07-03T22:00:10Z",950.21751,""
"pressure","2021-07-03T22:30:10Z",948.53172,""
"pressure","2021-07-03T23:00:10Z",949.53091,""
"pressure","2021-07-03T23:30:10Z",952.53512,""
"pressure","2021-07-04T00:00:10Z",949.35571,""
"pressure","2021-07-04T00:30:10Z",952.10901,""
"pressure","2021-07-04T01:00:10Z",949.80379,""
"pressure","2021-07-04T01:30:10Z",949.59603,""
"pressure","2021-07-04T02:00:10Z",949.9076,""
"pressure","2021-07-04T02:30:10Z",950.19323,""
"pressure","2021-07-04T03:00:10Z",950.22288,""
"pressure","2021-07-04T03:30:10Z",950.16098,""
"pressure","2021-07-04T04:00:10Z",950.24229,""
"pressure","2021-07-04T04:30:10Z",950.43673,""
"pressure","2021-07-04T05:00:10Z",950.36136,""
"pressure","2021-07-04T05:30:10Z",950.15462,""
"pressure","2021-07-04T06:00:10Z",950.10707,""
"pressure","2021-07-04T06:30:10Z",949.92081,""
"pressure","2021-07-04T07:00:10Z",949.74357,""
"pressure","2021-07-04T07:30:10Z",949.58049,""
"pressure","2021-07-04T08:00:10Z",949.4244,""
"pressure","2021-07-04T08:30:10Z",949.41669,""
"pressure","2021-07-04T09:00:10Z",949.50763,""
"pressure","2021-07-04T09:30:10Z",949.55748,""
"pressure","2021-07-04T10:00:10Z",950.42946,""
"pressure","2021-07-04T10:30:10Z",950.75445,""
"pressure","2021-07-04T11:00:10Z",950.62148,""
"pressure","2021-07-04T11:30:10Z",951.40088,""
"pressure","2021-07-04T12:00:10Z",950.65156,""
"pressure","2021-07-04T12:30:10Z",951.30451,""
"pressure","2021-07-04T13:00:10Z",952.11825,""
"pressure","2021-07-04T13:30:10Z",951.60014,""
"pressure","2021-07-04T14:00:10Z",952.98492,""
"pressure","2021-07-04T14:30:10Z",952.06842,""
"pressure","2021-07-04T15:00:10Z",952.79655,""
"pressure","2021-07-04T15:30:10Z",951.78807,""
"pressure","2021-07-04T16:00:10Z",949.29643,""
"pressure","2021-07-04T16:30:10Z",951.44215,""
"pressure","2021-07-04T17:00:10Z",950.18055,""
"pressure","2021-07-04T17:30:10Z",951.25283,""
"pressure","2021-07-04T18:00:10Z",951.50876,""
"pressure","2021-07-04T18:30:10Z",951.65166,""
"pressure","2021-07-04T19:00:10Z",951.69046,""
"pressure","2021-07-04T19:30:10Z",951.35802,""
"pressure","2021-07-04T20:00:10Z",949.55699,""
"pressure","2021-07-04T20:30:10Z",950.63761,""
"pressure","2021-07-04T21:00:10Z",951.29346,""
"pressure","2021-07-04T21:30:10Z",951.16968,""
"pressure","2021-07-04T22:00:10Z",948.84103,""
"pressure","2021-07-04T22:30:10Z",950.81875,""
"pressure","2021-07-04T23:00:10Z",950.074,""
"pressure","2021-07-04T23:30:10Z",950.86848,""
"pressure","2021-07-05T00:00:10Z",950.75582,""
"pressure","2021-07-05T00:30:10Z",951.35866,""
"pressure","2021-07-05T01:00:10Z",950.00457,""
"pressure","2021-07-05T01:30:10Z",950.08235,""
"pressure","2021-07-05T02:00:10Z",950.37198,""
"pressure","2021-07-05T02:30:10Z",950.58437,""
"pressure","2021-07-05T03:00:10Z",950.86911,""
"pressure","2021-07-05T03:30:10Z",950.86943,""
"pressure","2021-07-05T04:00:10Z",951.09647,""
"pressure","2021-07-05T04:30:10Z",950.95276,""
"pressure","2021-07-05T05:00:10Z",951.02118,""
"pressure","2021-07-05T05:30:10Z",950.84792,""
"pressure","2021-07-05T06:00:10Z",950.65444,""
"pressure","2021-07-05T06:30:10Z",950.31725,""
"pressure","2021-07-05T07:00:10Z",950.44065,""
"pressure","2021-07-05T07:30:10Z",950.39908,""
"pressure","2021-07-05T08:00:10Z",950.30204,""
"pressure","2021-07-05T08:30:10Z",950.2016,""
"pressure","2021-07-05T09:00:10Z",950.18828,""
"pressure","2021-07-05T09:30:10Z",950.38103,""
