"series","timestamp","value","label"
"Rise","2017-06-20T02:25:00Z",145,""
"Set","2017-06-20T19:15:00Z",1155,""
"Rise","2017-06-21T02:35:00Z",155,""
"Set","2017-06-21T19:35:00Z",1175,""
"Rise","2017-06-22T02:25:00Z",145,""
"Set","2017-06-22T19:25:00Z",1165,""
"Rise","2017-06-23T03:10:00Z",190,""
"Set","2017-06-23T19:20:00Z",1160,""
"Rise","2017-06-24T02:10:00Z",130,""
"Set","2017-06-24T19:40:00Z",1180,""
"Rise","2017-06-25T02:45:00Z",165,""
"Set","2017-06-25T19:25:00Z",1165,""
"Rise","2017-06-26T02:20:00Z",140,""
"Set","2017-06-26T19:30:00Z",1170,""
"Rise","2017-06-27T02:30:00Z",150,""
"Set","2017-06-27T19:20:00Z",1160,""
"Rise","2017-06-28T02:20:00Z",140,""
"Set","2017-06-28T19:20:00Z",1160,""
"Rise","2017-06-29T02:30:00Z",150,""
"Set","2017-06-29T19:35:00Z",1175,""
"Rise","2017-06-30T02:25:00Z",145,""
"Set","2017-06-30T19:15:00Z",1155,""
"Rise","2017-07-01T02:35:00Z",155,""
"Set","2017-07-01T19:30:00Z",1170,""
"Rise","2017-07-02T02:35:00Z",155,""
"Set","2017-07-02T19:05:00Z",1145,""
"Rise","2017-07-03T02:35:00Z",155,""
"Set","2017-07-03T19:35:00Z",1175,""
"Rise","2017-07-04T02:45:00Z",165,""
"Set","2017-07-04T19:05:00Z",1145,""
"Rise","2017-07-05T02:30:00Z",150,""
"Set","2017-07-05T19:15:00Z",1155,""
"Rise","2017-07-06T02:40:00Z",160,""
"Set","2017-07-06T19:10:00Z",1150,""
"Rise","2017-07-07T02:25:00Z",145,""
"Set","2017-07-07T19:15:00Z",1155,""
"Rise","2017-07-08T02:35:00Z",155,""
"Set","2017-07-08T19:20:00Z",1160,""
"Rise","2017-07-09T02:45:00Z",165,""
"Set","2017-07-09T19:15:00Z",1155,""
"Rise","2017-07-10T02:50:00Z",170,""
"Set","2017-07-10T19:00:00Z",1140,""
"Rise","2017-07-11T03:30:00Z",210,""
"Set","2017-07-11T19:05:00Z",1145,""
"Rise","2017-07-12T02:50:00Z",170,""
"Set","2017-07-12T18:55:00Z",1135,""
"Rise","2017-07-13T03:00:00Z",180,""
"Set","2017-07-13T19:10:00Z",1150,""
"Rise","2017-07-14T02:45:00Z",165,""
"Set","2017-07-14T19:05:00Z",1145,""
"Rise","2017-07-15T02:45:00Z",165,""
"Set","2017-07-15T19:05:00Z",1145,""
"Rise","2017-07-16T02:50:00Z",170,""
"Set","2017-07-16T19:00:00Z",1140,""
"Rise","2017-07-17T02:30:00Z",150,""
"Set","2017-07-17T19:00:00Z",1140,""
"Rise","2017-07-18T02:40:00Z",160,""
"Set","2017-07-18T19:05:00Z",1145,""
"Rise","2017-07-19T02:50:00Z",170,""
"Set","2017-07-19T19:05:00Z",1145,""
"Rise","2017-07-20T02:50:00Z",170,""
"Set","2017-07-20T18:50:00Z",1130,""
"Rise","2017-07-21T03:05:00Z",185,""
